TAZ,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE
33,923,801,122,103,86,92,90,180,372,0,1527,923
34,432,302,130,131,63,16,12,29,181,7,885,439
35,648,600,48,242,110,56,46,57,137,0,1317,648
36,612,567,45,229,104,53,44,54,128,2,1252,614
37,607,562,45,227,103,53,43,54,127,0,1011,607
38,424,379,45,189,91,43,32,36,33,0,1117,424
39,854,763,91,380,184,86,65,72,67,0,1818,854
40,1139,1026,113,402,299,121,90,106,121,110,1734,1249
41,1093,985,108,386,286,116,86,101,118,27,1632,1120
42,1340,1215,125,721,379,104,49,56,31,1336,2398,2676
43,928,841,87,500,263,72,34,39,20,74,1267,1002
44,1022,917,105,128,92,132,130,202,338,0,1951,1022
45,816,732,84,102,73,105,103,161,272,0,1625,816
46,708,635,73,89,64,91,90,140,234,0,1351,708
47,949,890,59,140,66,116,74,126,427,0,1704,949
48,1036,971,65,153,72,127,81,138,465,0,1641,1036
49,547,516,31,74,36,50,45,94,248,0,962,547
50,948,895,53,129,62,86,77,164,430,2,2033,950
51,1024,967,57,139,67,93,83,177,465,7,1994,1031
52,1166,1079,87,260,151,72,111,194,378,12,1957,1178
53,1289,1193,96,287,167,79,122,214,420,0,2025,1289
54,611,565,46,136,79,38,58,101,199,2,852,613
55,832,772,60,171,81,75,68,117,320,0,1315,832
56,369,342,27,76,36,33,30,52,142,2,694,371
57,719,667,52,148,70,65,58,101,277,0,1363,719
58,608,541,67,223,145,51,35,70,84,0,1431,608
59,916,814,102,336,219,76,53,105,127,1,1444,917
60,1145,1091,54,146,120,133,131,216,399,19,1806,1164
61,622,566,56,103,84,135,108,115,77,212,1020,834
62,170,152,18,48,36,18,14,25,29,19,294,189
63,52,49,3,12,10,12,9,4,5,8,77,60
64,713,643,70,332,175,39,44,77,46,11,1545,724
65,570,542,28,239,101,40,24,41,125,291,779,861
66,1101,1047,54,462,196,77,47,79,240,0,1757,1101
67,1436,1366,70,603,255,101,62,103,312,44,2413,1480
68,828,729,99,196,127,91,68,120,226,47,1577,875
69,2012,1797,215,263,170,162,130,346,941,150,3501,2162
70,1301,1225,76,435,315,178,128,116,129,31,1937,1332
71,1164,1096,68,389,282,159,115,104,115,37,1909,1201
72,1517,1381,136,252,205,329,264,281,186,313,2404,1830
73,320,293,27,174,99,18,15,6,8,2,526,322
74,1120,907,213,532,402,77,53,42,14,8,2606,1128
75,664,538,126,315,239,45,31,25,9,0,1440,664
76,1654,1510,144,517,226,123,68,309,411,67,1967,1721
77,762,696,66,238,104,57,31,142,190,29,2262,791
78,1399,1246,153,489,356,161,114,136,143,48,2449,1447
79,75,67,8,26,19,9,6,7,8,6,86,81
80,685,646,39,78,60,56,44,114,333,13,1173,698
81,141,128,13,15,13,3,7,15,88,216,238,357
82,260,260,0,23,3,0,19,62,153,10,358,270
83,34,30,4,10,6,5,4,3,6,7,59,41
84,332,332,0,27,6,0,20,84,195,7,773,339
85,268,238,30,71,63,25,24,41,44,40,463,308
86,0,0,0,0,0,0,0,0,0,14,0,14
87,0,0,0,0,0,0,0,0,0,1,0,1
88,675,594,81,160,104,74,55,98,184,219,1448,894
89,178,168,10,20,16,14,11,29,88,217,298,395
90,172,157,15,18,15,4,9,18,108,21,316,193
91,23,21,2,2,2,0,1,2,16,13,48,36
92,2096,1801,295,178,152,236,245,411,874,8,3637,2104
93,3581,3233,348,324,270,341,363,836,1447,45,6301,3626
94,3171,2810,361,308,239,284,318,648,1374,14,5406,3185
95,2333,1886,447,299,195,137,167,340,1195,2,4733,2335
96,597,537,60,36,33,57,52,101,318,0,1202,597
97,2239,1725,514,309,369,276,269,288,728,52,5730,2291
98,1475,1153,322,191,225,184,179,287,409,10,3853,1485
99,1549,1315,234,175,209,271,218,245,431,0,3858,1549
100,57,55,2,0,3,7,7,12,28,0,99,57
101,284,162,122,20,20,26,26,38,154,0,783,284
102,713,619,94,124,109,110,90,113,167,0,1535,713
103,646,533,113,84,93,80,81,135,173,0,1585,646
104,395,326,69,51,57,49,50,82,106,0,947,395
105,367,303,64,48,53,46,46,77,97,2,902,369
106,536,442,94,69,77,66,68,112,144,0,1183,536
107,673,550,123,87,95,80,82,113,216,0,1558,673
108,576,471,105,74,82,68,70,97,185,14,1368,590
109,391,319,72,51,55,46,48,66,125,8,971,399
110,726,593,133,94,103,86,89,122,232,0,1705,726
111,860,754,106,173,179,88,87,117,216,9,1819,869
112,863,757,106,174,179,89,87,117,217,17,1845,880
113,807,707,100,163,168,83,82,109,202,0,1708,807
114,212,121,91,15,15,20,20,28,114,0,593,212
115,439,250,189,31,31,41,41,59,236,0,1121,439
116,589,499,90,80,85,60,56,95,213,0,1517,589
117,554,470,84,75,80,57,53,90,199,4,1358,558
118,973,825,148,132,140,99,92,158,352,4,2249,977
119,554,444,110,86,93,57,65,95,158,1,1305,555
120,777,623,154,121,131,81,91,134,219,0,1798,777
121,453,363,90,70,76,47,53,78,129,0,1063,453
122,490,393,97,76,82,51,57,84,140,0,1306,490
123,743,595,148,115,125,77,87,128,211,3,1623,746
124,646,510,136,77,89,96,87,117,180,2,1523,648
125,553,437,116,66,76,82,75,100,154,3,1488,556
126,449,354,95,54,62,67,61,81,124,1,1150,450
127,641,506,135,77,88,95,87,116,178,0,1494,641
128,514,398,116,64,76,69,59,103,143,0,1347,514
129,682,592,90,119,104,106,87,108,158,3,1513,685
130,550,477,73,96,84,85,70,87,128,0,1288,550
131,606,469,137,76,89,82,70,122,167,2,1499,608
132,409,315,94,56,67,50,49,53,134,5,1273,414
133,623,595,28,90,86,83,67,81,216,22,1163,645
134,1211,635,576,41,49,77,92,140,812,3,3790,1214
135,551,526,25,80,76,73,59,72,191,3,988,554
136,642,613,29,93,89,86,69,84,221,7,1057,649
137,421,326,95,52,62,57,48,85,117,0,1203,421
138,964,910,54,96,80,86,81,158,463,61,1608,1025
139,1440,1360,80,143,120,128,121,236,692,1,2345,1441
140,787,743,44,78,66,70,66,129,378,31,1331,818
141,787,743,44,78,66,70,66,129,378,0,1408,787
142,134,107,27,25,23,15,13,16,42,0,310,134
143,830,665,165,152,145,93,81,100,259,0,1889,830
144,770,617,153,141,135,87,75,93,239,74,1910,844
145,693,555,138,127,121,78,68,84,215,32,1475,725
146,854,684,170,156,149,96,84,103,266,31,1736,885
147,647,584,63,95,119,64,59,111,199,34,1482,681
148,575,519,56,85,106,57,52,99,176,0,1208,575
149,460,415,45,68,85,46,42,79,140,0,733,460
150,677,611,66,100,125,67,61,116,208,19,1053,696
151,571,515,56,84,105,57,52,98,175,70,1198,641
152,601,542,59,89,111,60,54,103,184,44,983,645
153,647,525,122,54,74,51,50,102,316,0,1362,647
154,544,442,102,46,62,43,42,86,265,69,1197,613
155,586,476,110,49,67,46,45,92,287,2,1200,588
156,304,247,57,26,35,24,24,48,147,0,702,304
157,768,624,144,65,88,60,59,121,375,14,1690,782
158,622,559,63,38,34,59,54,105,332,0,1206,622
159,663,596,67,40,37,63,58,112,353,0,1265,663
160,784,705,79,47,43,74,68,133,419,0,1368,784
161,335,246,89,32,28,25,31,52,167,0,751,335
162,625,520,105,54,37,44,56,135,299,22,1399,647
163,320,266,54,28,19,22,29,69,153,2,648,322
164,1293,1076,217,113,77,90,116,279,618,0,1963,1293
165,313,229,84,30,26,23,29,49,156,0,844,313
166,509,373,136,48,43,38,47,80,253,160,894,669
167,271,199,72,26,23,20,25,42,135,0,749,271
168,530,388,142,50,44,40,49,83,264,0,1116,530
169,752,621,131,86,72,45,59,99,391,0,1590,752
170,773,638,135,88,74,46,61,102,402,0,1498,773
171,467,385,82,53,45,28,37,62,242,0,900,467
172,733,663,70,80,60,50,68,174,301,26,1222,759
173,860,777,83,93,70,59,79,204,355,0,1352,860
174,939,922,17,129,112,119,132,176,271,83,1425,1022
175,639,627,12,88,77,81,90,120,183,7,958,646
176,440,398,42,83,64,50,43,39,161,0,890,440
177,789,713,76,149,116,90,77,69,288,0,1553,789
178,1173,1061,112,221,172,134,114,103,429,0,1852,1173
179,513,440,73,42,54,66,65,75,211,0,1099,513
180,439,377,62,36,47,57,56,65,178,21,933,460
181,593,492,101,64,66,54,68,101,240,0,1174,593
182,386,320,66,41,43,35,44,66,157,0,787,386
183,491,407,84,53,55,45,57,83,198,0,995,491
184,699,579,120,75,78,64,80,119,283,0,1250,699
185,726,602,124,78,81,67,84,123,293,1,1581,727
186,278,270,8,75,53,26,25,36,63,4,641,282
187,1169,1136,33,317,224,108,105,153,262,83,1706,1252
188,935,909,26,253,179,87,84,122,210,0,1340,935
189,436,367,69,69,71,54,54,73,115,1,988,437
190,392,330,62,62,64,49,49,65,103,8,856,400
191,617,520,97,97,101,77,76,103,163,0,1379,617
192,457,344,113,42,50,46,56,85,178,1801,995,2258
193,481,362,119,45,53,48,59,90,186,2,1179,483
194,907,684,223,84,100,90,111,170,352,12,2103,919
195,587,442,145,54,65,58,72,110,228,6,1240,593
196,972,850,122,228,223,91,88,115,227,5,1985,977
197,1102,964,138,259,253,104,99,130,257,0,2357,1102
198,1763,1699,64,455,367,144,164,200,433,11,2807,1774
199,735,613,122,277,229,57,56,41,75,0,1660,735
200,1187,990,197,447,369,92,90,66,123,0,2161,1187
201,322,269,53,121,100,25,24,18,34,9,850,331
202,381,318,63,143,119,30,29,21,39,0,877,381
203,351,309,42,46,50,23,24,46,162,0,738,351
204,615,541,74,80,88,41,42,80,284,9,1354,624
205,1060,932,128,139,151,71,73,139,487,60,2424,1120
206,795,738,57,48,86,85,104,171,301,6,1649,801
207,1056,981,75,64,114,112,139,227,400,18,2066,1074
208,485,411,74,58,50,48,47,83,199,20,1053,505
209,625,529,96,74,64,62,61,107,257,35,1464,660
210,505,428,77,60,52,50,49,86,208,14,1189,519
211,674,571,103,80,69,67,66,115,277,95,1682,769
212,789,724,65,39,70,103,95,167,315,6,1774,795
213,459,421,38,22,41,60,55,97,184,36,1179,495
214,608,558,50,30,54,79,73,129,243,6,1479,614
215,645,592,53,31,57,84,78,137,258,13,1354,658
216,637,565,72,34,63,46,41,93,360,13,1330,650
217,770,684,86,42,76,56,49,113,434,0,1679,770
218,736,586,150,99,113,89,89,137,209,3,1569,739
219,1020,813,207,138,157,123,124,190,288,0,2212,1020
220,439,350,89,59,67,53,53,82,125,2,969,441
221,491,391,100,66,75,59,60,92,139,1,1145,492
222,523,417,106,71,80,63,64,97,148,1,1221,524
223,482,377,105,62,73,60,58,94,135,4,1202,486
224,707,553,154,92,108,88,86,137,196,0,1810,707
225,452,353,99,59,69,56,55,88,125,43,1109,495
226,446,396,50,24,44,33,28,65,252,47,865,493
227,298,265,33,16,30,22,19,44,167,1,702,299
228,820,696,124,72,108,122,70,158,290,0,1664,820
229,471,400,71,41,62,70,40,90,168,0,965,471
230,1395,1239,156,101,82,117,108,229,758,0,2371,1395
231,515,458,57,37,30,43,40,84,281,0,995,515
232,591,525,66,43,35,50,46,97,320,0,1179,591
233,0,0,0,0,0,0,0,0,0,56,0,56
234,104,54,50,3,4,7,8,12,70,4,327,108
235,524,425,99,44,60,41,41,83,255,0,1118,524
236,0,0,0,0,0,0,0,0,0,0,0,0
237,85,82,3,2,3,12,10,30,28,52,124,137
238,426,321,105,39,47,42,52,80,166,47,921,473
239,1233,1115,118,82,101,170,135,245,500,0,2282,1233
240,1453,1105,348,84,113,115,107,275,759,4,3072,1457
241,640,526,114,77,68,43,42,136,274,0,1222,640
242,728,525,203,96,97,83,86,195,171,44,2294,772
243,1412,1196,216,89,130,177,124,236,656,73,2937,1485
244,1208,928,280,77,87,73,85,231,655,0,2592,1208
245,1159,900,259,116,217,216,172,267,171,21,3806,1180
246,1344,966,378,108,156,135,142,172,631,0,3411,1344
247,966,415,551,345,292,118,93,47,71,0,3446,966
248,559,497,62,123,138,34,25,95,144,4,983,563
249,1146,1036,110,242,348,136,77,153,190,38,1785,1184
250,1299,1156,143,286,322,80,58,222,331,27,2609,1326
251,1035,956,79,110,136,106,88,189,406,14,1813,1049
252,393,363,30,42,52,40,33,72,154,3,794,396
253,801,740,61,85,105,82,68,146,315,18,1504,819
254,494,437,57,52,49,34,27,101,231,0,961,494
255,475,421,54,50,47,33,26,97,222,4,845,479
256,936,829,107,98,93,65,51,192,437,2,1562,938
257,837,741,96,88,83,58,45,171,392,0,1578,837
258,425,377,48,31,44,34,33,60,223,2,821,427
259,962,853,109,71,99,77,74,137,504,26,1820,988
260,1176,1043,133,87,121,94,91,167,616,10,2312,1186
261,912,796,116,167,183,78,63,182,239,86,1979,998
262,721,629,92,132,145,61,50,144,189,27,1424,748
263,626,546,80,115,126,53,43,125,164,0,1388,626
264,535,467,68,98,108,46,37,107,139,1,1345,536
265,341,277,64,66,63,39,26,52,95,0,852,341
266,332,270,62,65,62,38,25,50,92,1,896,333
267,507,412,95,99,94,58,38,77,141,1,1129,508
268,694,564,130,135,129,80,52,105,193,54,1853,748
269,448,383,65,42,62,46,36,77,185,117,1041,565
270,774,580,194,102,113,62,66,97,334,0,1827,774
271,435,346,89,50,39,53,37,100,156,15,1428,450
272,479,325,154,67,118,56,62,71,105,6,1916,485
273,410,271,139,90,120,64,46,34,56,54,1474,464
274,377,152,225,167,121,46,22,9,12,0,1023,377
275,746,638,108,70,102,77,60,129,308,25,1473,771
276,487,416,71,45,67,51,39,84,201,0,1096,487
277,460,393,67,43,63,48,37,79,190,5,1049,465
278,408,323,85,18,22,47,43,64,214,0,943,408
279,479,379,100,21,26,55,50,75,252,0,1075,479
280,575,455,120,25,31,66,60,90,303,0,1313,575
281,468,370,98,20,25,53,49,73,248,1,915,469
282,393,307,86,28,32,41,33,65,194,2,838,395
283,707,552,155,51,57,74,59,117,349,0,1534,707
284,618,483,135,44,50,65,51,103,305,0,1434,618
285,604,496,108,63,78,44,46,110,263,0,1256,604
286,433,356,77,45,56,31,33,79,189,0,859,433
287,478,393,85,50,62,35,37,87,207,0,943,478
288,483,397,86,50,62,35,37,88,211,0,981,483
289,511,420,91,53,66,37,39,93,223,40,1036,551
290,837,688,149,100,89,56,56,178,358,0,1820,837
291,677,557,120,81,72,46,45,144,289,0,1330,677
292,615,461,154,81,89,50,52,77,266,0,1269,615
293,413,309,104,54,60,33,35,52,179,0,1060,413
294,448,346,102,40,46,49,45,64,204,0,969,448
295,303,234,69,27,31,33,30,43,139,0,698,303
296,463,301,162,63,96,62,58,89,95,34,1750,497
297,618,392,226,80,123,96,92,129,98,4,2275,622
298,293,195,98,138,88,2,12,43,10,106,822,399
299,197,138,59,44,39,18,23,31,42,0,513,197
300,502,388,114,45,51,55,50,72,229,22,1030,524
301,521,403,118,47,53,57,52,74,238,0,1098,521
302,601,521,80,33,25,38,41,83,381,1,1515,602
303,300,260,40,16,12,19,20,41,192,3,528,303
304,428,329,99,41,60,49,26,58,194,20,1066,448
305,805,619,186,76,112,93,49,110,365,14,2243,819
306,486,399,87,21,19,43,28,82,293,1,1123,487
307,688,529,159,65,96,79,42,94,312,8,1944,696
308,636,397,239,111,121,88,55,115,146,12,2066,648
309,715,568,147,83,64,87,62,164,255,5,1866,720
310,428,340,88,50,38,52,37,98,153,0,1332,428
311,568,355,213,99,108,79,49,103,130,15,2025,583
312,191,162,29,29,36,25,21,43,37,6,429,197
313,337,211,126,59,64,47,29,61,77,0,1274,337
314,433,369,64,35,43,60,20,92,183,44,1307,477
315,397,338,59,32,40,55,19,85,166,15,1225,412
316,478,325,153,67,118,56,62,71,104,20,1915,498
317,358,259,99,48,45,40,31,72,122,7,978,365
318,345,234,111,48,85,40,45,51,76,0,1311,345
319,301,190,111,18,31,31,36,50,135,0,842,301
320,402,294,108,25,57,41,33,75,171,3,1201,405
321,332,243,89,21,47,33,27,62,142,0,993,332
322,394,219,175,88,95,44,45,66,56,16,1362,410
323,413,229,184,92,100,47,47,69,58,9,1488,422
324,537,372,165,41,59,78,50,87,222,36,1580,573
325,475,329,146,36,52,69,45,77,196,13,1293,488
326,498,305,193,96,134,62,55,54,97,0,1560,498
327,310,143,167,86,96,24,27,33,44,0,1223,310
328,257,119,138,71,80,20,22,28,36,0,994,257
329,306,214,92,18,28,41,25,42,152,14,889,320
330,616,431,185,36,56,82,51,85,306,22,1735,638
331,418,292,126,25,38,56,34,57,208,19,1107,437
332,442,306,136,34,49,64,42,71,182,104,1297,546
333,550,346,204,33,57,57,65,92,246,3,1622,553
334,462,291,171,28,48,48,55,77,206,0,1336,462
335,451,349,102,27,40,70,58,104,152,0,1139,451
336,734,569,165,44,65,114,95,169,247,0,1933,734
337,551,427,124,33,49,85,71,127,186,0,1608,551
338,497,385,112,30,44,77,64,114,168,2,1423,499
339,259,201,58,16,23,40,33,60,87,0,779,259
340,463,362,101,64,97,93,78,77,54,13,1659,476
341,244,191,53,34,51,49,41,41,28,0,858,244
342,426,333,93,59,89,86,72,71,49,13,1515,439
343,388,303,85,54,81,78,66,65,44,8,1382,396
344,401,313,88,56,84,81,68,67,45,36,1520,437
345,625,432,193,48,69,90,59,101,258,22,1514,647
346,592,455,137,50,82,66,57,65,272,13,1503,605
347,493,379,114,42,68,55,48,54,226,10,1181,503
348,357,274,83,30,50,40,35,39,163,5,1035,362
349,379,291,88,32,53,42,37,42,173,28,909,407
350,375,274,101,24,53,38,30,70,160,3,1050,378
351,630,321,309,50,138,83,35,136,188,0,2160,630
352,559,348,211,48,93,63,47,83,225,3,1667,562
353,785,399,386,63,173,104,43,170,232,13,2874,798
354,415,259,156,35,69,47,35,61,168,0,1342,415
355,614,460,154,42,67,117,100,111,177,20,1945,634
356,456,322,134,54,58,52,48,93,151,16,1455,472
357,395,279,116,46,50,45,42,81,131,0,1321,395
358,455,321,134,54,58,52,48,93,150,0,1614,455
359,584,412,172,69,74,67,62,119,193,0,1862,584
360,343,242,101,40,44,39,36,70,114,30,1219,373
361,307,217,90,36,39,35,32,63,102,4,1048,311
362,471,330,141,75,100,67,55,73,101,4,1681,475
363,447,313,134,71,95,63,52,69,97,0,1579,447
364,341,239,102,54,72,48,40,53,74,2,1095,343
365,346,242,104,55,73,49,40,53,76,0,1135,346
366,257,182,75,31,54,48,34,43,47,18,732,275
367,377,266,111,45,79,71,50,64,68,0,1099,377
368,589,425,164,77,78,67,70,157,140,5,1957,594
369,175,126,49,23,23,20,21,47,41,0,569,175
370,716,459,257,66,140,121,97,147,145,0,2770,716
371,709,515,194,116,155,109,95,98,136,0,2652,709
372,799,492,307,137,220,104,105,116,117,0,2965,799
373,581,373,208,54,113,99,79,120,116,3,2268,584
374,386,289,97,27,42,74,63,70,110,0,1303,386
375,363,278,85,46,69,46,37,79,86,4,1348,367
376,223,171,52,28,43,29,23,48,52,0,741,223
377,473,363,110,60,90,61,48,103,111,0,1787,473
378,343,263,80,44,65,44,35,74,81,0,1197,343
379,495,353,142,35,68,107,76,115,94,8,1869,503
380,361,257,104,26,50,78,55,84,68,6,1405,367
381,338,241,97,24,47,73,52,78,64,0,1372,338
382,331,236,95,24,46,72,51,77,61,11,1325,342
383,299,213,86,21,41,65,46,69,57,24,1199,323
384,306,192,114,27,46,50,47,66,70,0,1219,306
385,361,262,99,59,79,55,48,50,70,6,1281,367
386,369,231,138,32,56,60,57,79,85,0,1608,369
387,380,295,85,38,71,71,56,88,56,0,1343,380
388,309,225,84,50,68,47,41,43,60,1,1128,310
389,464,291,173,40,70,75,71,100,108,0,1916,464
390,624,430,194,121,139,116,108,110,30,0,2002,624
391,491,332,159,83,108,85,76,76,63,14,1659,505
392,542,367,175,92,119,94,83,84,70,0,1905,542
393,433,363,70,50,51,52,40,75,165,24,1042,457
394,600,503,97,70,71,72,56,104,227,68,1339,668
395,421,353,68,49,50,50,39,73,160,1,1006,422
396,663,556,107,77,79,79,62,115,251,10,1293,673
397,1043,853,190,69,97,142,115,206,414,301,2004,1344
398,814,666,148,53,76,110,90,161,324,0,1744,814
399,12,10,2,2,1,1,1,2,5,16,19,28
400,44,38,6,5,3,4,3,8,21,0,84,44
401,465,397,68,69,43,35,26,67,225,0,959,465
402,412,337,75,27,38,56,45,82,164,0,872,412
403,907,583,324,109,116,133,90,211,248,0,2271,907
404,521,335,186,63,67,77,52,121,141,0,1746,521
405,227,181,46,43,36,11,14,32,91,0,517,227
406,1468,1328,140,97,120,203,161,291,596,0,2694,1468
407,530,423,107,101,84,25,33,75,212,10,1442,540
408,506,416,90,21,20,44,30,86,305,0,1107,506
409,13,11,2,2,2,2,1,3,3,73,26,86
410,495,358,137,66,62,55,43,99,170,1,1601,496
411,323,234,89,43,40,36,28,65,111,29,914,352
412,826,539,287,109,157,129,120,145,166,0,2703,826
413,376,245,131,50,71,59,55,66,75,0,1213,376
414,434,270,164,37,73,49,36,64,175,11,1293,445
415,657,412,245,96,127,119,94,87,134,0,2552,657
416,777,487,290,113,150,140,111,102,161,0,2778,777
417,822,506,316,140,226,107,108,120,121,4,2967,826
418,724,459,265,93,144,113,107,151,116,10,2803,734
419,529,364,165,102,117,99,91,93,27,9,1885,538
420,412,198,214,66,114,66,49,43,74,5,1794,417
421,309,148,161,50,86,50,36,32,55,0,1267,309
422,354,197,157,79,86,40,40,59,50,69,1363,423
423,606,548,58,40,50,84,67,120,245,0,1195,606
424,473,428,45,31,39,65,52,94,192,0,873,473
425,751,679,72,50,61,104,82,149,305,1,1596,752
426,743,591,152,51,42,71,48,107,424,3,1505,746
427,851,677,174,59,48,81,55,122,486,0,1840,851
428,542,353,189,74,112,73,68,104,111,14,1926,556
429,386,251,135,52,80,52,49,74,79,1,1382,387
430,353,230,123,48,73,47,44,68,73,7,1344,360
431,416,271,145,57,86,56,52,80,85,6,1459,422
432,709,528,181,68,117,118,92,155,159,14,2711,723
433,506,377,129,49,84,84,66,110,113,20,1815,526
434,254,189,65,24,42,42,33,55,58,7,887,261
435,381,284,97,37,63,63,50,83,85,0,1376,381
436,468,349,119,45,77,78,61,102,105,0,1770,468
437,527,393,134,51,87,88,69,115,117,0,2070,527
438,807,588,219,138,136,148,121,117,147,88,2857,895
439,321,277,44,39,31,47,32,72,100,8,701,329
440,586,530,56,124,178,70,39,78,97,113,812,699
441,770,696,74,163,234,91,51,103,128,78,1807,848
442,30,26,4,4,3,4,3,7,9,139,61,169
443,596,539,57,126,181,71,40,80,98,13,1311,609
444,1379,1227,152,304,341,85,62,235,352,47,2457,1426
445,873,599,274,159,111,70,52,133,348,4,2249,877
446,1055,724,331,192,134,84,63,161,421,7,2392,1062
447,645,443,202,117,82,51,38,99,258,0,1508,645
448,11,8,3,2,2,1,1,3,2,14,16,25
449,562,366,196,76,116,75,71,108,116,1,2044,563
450,0,0,0,0,0,0,0,0,0,0,0,0
451,39,30,9,5,8,4,3,10,9,11,86,50
452,2198,1875,323,325,206,166,122,317,1062,58,4567,2256
453,289,250,39,35,28,42,29,64,91,62,806,351
454,100,86,14,12,10,15,10,22,31,5,225,105
455,0,0,0,0,0,0,0,0,0,2,0,2
456,7,6,1,1,1,1,1,2,1,15,19,22
457,418,365,53,52,30,43,32,75,186,90,795,508
458,891,760,131,132,83,67,49,129,431,15,1690,906
459,7,6,1,1,1,1,0,1,3,178,10,185
460,106,90,16,16,20,14,12,24,20,0,278,106
461,388,329,59,59,74,50,42,88,75,0,1074,388
462,1,1,0,0,0,0,0,0,1,0,4,1
463,0,0,0,0,0,0,0,0,0,28,0,28
464,0,0,0,0,0,0,0,0,0,2,0,2
465,213,185,28,12,9,13,15,29,135,0,314,213
466,0,0,0,0,0,0,0,0,0,0,0,0
467,42,32,10,6,9,5,3,11,8,0,53,42
468,0,0,0,0,0,0,0,0,0,20,0,20
469,0,0,0,0,0,0,0,0,0,2,0,2
470,36,28,8,5,7,4,2,9,9,2,74,38
471,8,6,2,1,2,1,1,2,1,5,14,13
472,0,0,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0,0,0
474,559,245,314,186,192,61,31,35,54,0,1745,559
475,991,434,557,330,340,107,55,62,97,5,2798,996
476,127,51,76,56,41,16,7,3,4,2,457,129
477,41,25,16,8,11,5,5,4,8,0,145,41
478,491,301,190,95,133,61,54,53,95,0,1724,491
479,94,43,51,26,29,7,8,10,14,0,294,94
480,249,115,134,69,77,19,21,27,36,0,920,249
481,55,31,24,12,13,6,6,9,9,1,187,56
482,67,42,25,6,10,11,10,14,16,0,280,67
483,37,24,13,4,5,5,4,9,10,0,88,37
484,203,131,72,24,26,30,20,47,56,6,696,209
485,301,231,70,38,57,39,30,65,72,6,1127,307
486,305,234,71,39,58,39,31,66,72,0,1007,305
487,247,174,73,29,31,28,26,50,83,0,841,247
488,705,507,198,56,82,71,74,90,332,0,1792,705
489,676,486,190,54,79,68,71,86,318,0,1736,676
490,307,262,45,45,29,23,17,44,149,559,639,866
491,613,394,219,40,57,52,51,96,317,0,1665,613
492,594,476,118,127,165,86,67,65,84,0,1565,594
493,706,513,193,35,49,54,82,129,357,32,1880,738
494,244,177,67,12,17,19,28,44,124,4,721,248
495,299,217,82,15,21,23,35,54,151,0,966,299
496,290,211,79,14,20,22,34,53,147,7,867,297
497,391,272,119,14,22,29,37,68,221,1,1275,392
498,275,191,84,10,16,20,26,48,155,0,764,275
499,284,197,87,11,16,21,27,50,159,0,828,284
500,342,238,104,13,19,25,32,60,193,0,1007,342
501,487,338,149,18,27,36,46,85,275,7,1411,494
502,227,158,69,8,13,17,21,40,128,0,674,227
503,316,220,96,12,18,23,30,55,178,5,951,321
504,292,230,62,27,38,36,33,55,103,2,860,294
505,537,423,114,49,70,66,62,101,189,0,1383,537
506,311,245,66,29,41,38,36,59,108,5,944,316
507,464,365,99,43,61,57,53,88,162,0,1382,464
508,302,238,64,28,40,37,35,57,105,0,898,302
509,290,228,62,27,38,36,33,55,101,0,878,290
510,288,227,61,26,38,35,33,54,102,0,862,288
