geography,id,name,value,source,control_size,countycomb_label
TAZ,16,hh_no_child,-3,Difference,66,NA
TAZ,17,num_hh,687,Control,687,NA
TAZ,17,hh_inc_30,49,Control,49,NA
TAZ,17,hh_inc_30_60,48,Control,48,NA
TAZ,17,hh_inc_60_100,112,Control,112,NA
TAZ,17,hh_inc_100_plus,372,Control,372,NA
TAZ,17,hh_child,658,Control,658,NA
TAZ,17,hh_no_child,29,Control,29,NA
TAZ,17,num_hh,687,Result,687,NA
TAZ,17,hh_inc_30,54,Result,49,NA
TAZ,17,hh_inc_30_60,53,Result,48,NA
TAZ,17,hh_inc_60_100,123,Result,112,NA
TAZ,17,hh_inc_100_plus,405,Result,372,NA
TAZ,17,hh_child,608,Result,658,NA
TAZ,17,hh_no_child,27,Result,29,NA
TAZ,17,num_hh,0,Difference,687,NA
TAZ,17,hh_inc_30,5,Difference,49,NA
TAZ,17,hh_inc_30_60,5,Difference,48,NA
TAZ,17,hh_inc_60_100,11,Difference,112,NA
TAZ,17,hh_inc_100_plus,33,Difference,372,NA
TAZ,17,hh_child,-50,Difference,658,NA
TAZ,17,hh_no_child,-2,Difference,29,NA
TAZ,18,num_hh,1414,Control,1414,NA
TAZ,18,hh_inc_30,408,Control,408,NA
TAZ,18,hh_inc_30_60,241,Control,241,NA
TAZ,18,hh_inc_60_100,275,Control,275,NA
TAZ,18,hh_inc_100_plus,384,Control,384,NA
TAZ,18,hh_child,951,Control,951,NA
TAZ,18,hh_no_child,463,Control,463,NA
TAZ,18,num_hh,1414,Result,1414,NA
TAZ,18,hh_inc_30,428,Result,408,NA
TAZ,18,hh_inc_30_60,252,Result,241,NA
TAZ,18,hh_inc_60_100,287,Result,275,NA
TAZ,18,hh_inc_100_plus,399,Result,384,NA
TAZ,18,hh_child,920,Result,951,NA
TAZ,18,hh_no_child,446,Result,463,NA
TAZ,18,num_hh,0,Difference,1414,NA
TAZ,18,hh_inc_30,20,Difference,408,NA
TAZ,18,hh_inc_30_60,11,Difference,241,NA
TAZ,18,hh_inc_60_100,12,Difference,275,NA
TAZ,18,hh_inc_100_plus,15,Difference,384,NA
TAZ,18,hh_child,-31,Difference,951,NA
TAZ,18,hh_no_child,-17,Difference,463,NA
TAZ,19,num_hh,1539,Control,1539,NA
TAZ,19,hh_inc_30,84,Control,84,NA
TAZ,19,hh_inc_30_60,77,Control,77,NA
TAZ,19,hh_inc_60_100,68,Control,68,NA
TAZ,19,hh_inc_100_plus,1310,Control,1310,NA
TAZ,19,hh_child,1382,Control,1382,NA
TAZ,19,hh_no_child,157,Control,157,NA
TAZ,19,num_hh,1539,Result,1539,NA
TAZ,19,hh_inc_30,84,Result,84,NA
TAZ,19,hh_inc_30_60,77,Result,77,NA
TAZ,19,hh_inc_60_100,68,Result,68,NA
TAZ,19,hh_inc_100_plus,1308,Result,1310,NA
TAZ,19,hh_child,1382,Result,1382,NA
TAZ,19,hh_no_child,155,Result,157,NA
TAZ,19,num_hh,0,Difference,1539,NA
TAZ,19,hh_inc_30,0,Difference,84,NA
TAZ,19,hh_inc_30_60,0,Difference,77,NA
TAZ,19,hh_inc_60_100,0,Difference,68,NA
TAZ,19,hh_inc_100_plus,-2,Difference,1310,NA
TAZ,19,hh_child,0,Difference,1382,NA
TAZ,19,hh_no_child,-2,Difference,157,NA
TAZ,20,num_hh,899,Control,899,NA
TAZ,20,hh_inc_30,553,Control,553,NA
TAZ,20,hh_inc_30_60,283,Control,283,NA
TAZ,20,hh_inc_60_100,48,Control,48,NA
TAZ,20,hh_inc_100_plus,0,Control,0,NA
TAZ,20,hh_child,783,Control,783,NA
TAZ,20,hh_no_child,116,Control,116,NA
TAZ,20,num_hh,899,Result,899,NA
TAZ,20,hh_inc_30,558,Result,553,NA
TAZ,20,hh_inc_30_60,285,Result,283,NA
TAZ,20,hh_inc_60_100,48,Result,48,NA
TAZ,20,hh_inc_100_plus,0,Result,0,NA
TAZ,20,hh_child,777,Result,783,NA
TAZ,20,hh_no_child,114,Result,116,NA
TAZ,20,num_hh,0,Difference,899,NA
TAZ,20,hh_inc_30,5,Difference,553,NA
TAZ,20,hh_inc_30_60,2,Difference,283,NA
TAZ,20,hh_inc_60_100,0,Difference,48,NA
TAZ,20,hh_inc_100_plus,0,Difference,0,NA
TAZ,20,hh_child,-6,Difference,783,NA
TAZ,20,hh_no_child,-2,Difference,116,NA
TAZ,21,num_hh,612,Control,612,NA
TAZ,21,hh_inc_30,110,Control,110,NA
TAZ,21,hh_inc_30_60,110,Control,110,NA
TAZ,21,hh_inc_60_100,98,Control,98,NA
TAZ,21,hh_inc_100_plus,244,Control,244,NA
TAZ,21,hh_child,577,Control,577,NA
TAZ,21,hh_no_child,35,Control,35,NA
TAZ,21,num_hh,612,Result,612,NA
TAZ,21,hh_inc_30,116,Result,110,NA
TAZ,21,hh_inc_30_60,116,Result,110,NA
TAZ,21,hh_inc_60_100,103,Result,98,NA
TAZ,21,hh_inc_100_plus,255,Result,244,NA
TAZ,21,hh_child,556,Result,577,NA
TAZ,21,hh_no_child,34,Result,35,NA
TAZ,21,num_hh,0,Difference,612,NA
TAZ,21,hh_inc_30,6,Difference,110,NA
TAZ,21,hh_inc_30_60,6,Difference,110,NA
TAZ,21,hh_inc_60_100,5,Difference,98,NA
TAZ,21,hh_inc_100_plus,11,Difference,244,NA
TAZ,21,hh_child,-21,Difference,577,NA
TAZ,21,hh_no_child,-1,Difference,35,NA
TAZ,22,num_hh,516,Control,516,NA
TAZ,22,hh_inc_30,121,Control,121,NA
TAZ,22,hh_inc_30_60,46,Control,46,NA
TAZ,22,hh_inc_60_100,65,Control,65,NA
TAZ,22,hh_inc_100_plus,220,Control,220,NA
TAZ,22,hh_child,479,Control,479,NA
TAZ,22,hh_no_child,37,Control,37,NA
TAZ,22,num_hh,516,Result,516,NA
TAZ,22,hh_inc_30,131,Result,121,NA
TAZ,22,hh_inc_30_60,50,Result,46,NA
TAZ,22,hh_inc_60_100,70,Result,65,NA
TAZ,22,hh_inc_100_plus,235,Result,220,NA
TAZ,22,hh_child,451,Result,479,NA
TAZ,22,hh_no_child,35,Result,37,NA
TAZ,22,num_hh,0,Difference,516,NA
TAZ,22,hh_inc_30,10,Difference,121,NA
TAZ,22,hh_inc_30_60,4,Difference,46,NA
TAZ,22,hh_inc_60_100,5,Difference,65,NA
TAZ,22,hh_inc_100_plus,15,Difference,220,NA
TAZ,22,hh_child,-28,Difference,479,NA
TAZ,22,hh_no_child,-2,Difference,37,NA
TAZ,23,num_hh,956,Control,956,NA
TAZ,23,hh_inc_30,561,Control,561,NA
TAZ,23,hh_inc_30_60,272,Control,272,NA
TAZ,23,hh_inc_60_100,52,Control,52,NA
TAZ,23,hh_inc_100_plus,0,Control,0,NA
TAZ,23,hh_child,867,Control,867,NA
TAZ,23,hh_no_child,89,Control,89,NA
TAZ,23,num_hh,956,Result,956,NA
TAZ,23,hh_inc_30,592,Result,561,NA
TAZ,23,hh_inc_30_60,285,Result,272,NA
TAZ,23,hh_inc_60_100,54,Result,52,NA
TAZ,23,hh_inc_100_plus,0,Result,0,NA
TAZ,23,hh_child,845,Result,867,NA
TAZ,23,hh_no_child,86,Result,89,NA
TAZ,23,num_hh,0,Difference,956,NA
TAZ,23,hh_inc_30,31,Difference,561,NA
TAZ,23,hh_inc_30_60,13,Difference,272,NA
TAZ,23,hh_inc_60_100,2,Difference,52,NA
TAZ,23,hh_inc_100_plus,0,Difference,0,NA
TAZ,23,hh_child,-22,Difference,867,NA
TAZ,23,hh_no_child,-3,Difference,89,NA
TAZ,24,num_hh,554,Control,554,NA
TAZ,24,hh_inc_30,328,Control,328,NA
TAZ,24,hh_inc_30_60,96,Control,96,NA
TAZ,24,hh_inc_60_100,77,Control,77,NA
TAZ,24,hh_inc_100_plus,54,Control,54,NA
TAZ,24,hh_child,471,Control,471,NA
TAZ,24,hh_no_child,83,Control,83,NA
TAZ,24,num_hh,554,Result,554,NA
TAZ,24,hh_inc_30,327,Result,328,NA
