TAZ,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE
185,953,807,146,173,155,101,97,152,275,13,2036,966
186,514,490,24,147,129,55,45,53,85,10,887,524
187,1505,1434,71,431,377,161,133,155,248,199,2595,1704
188,1041,992,49,298,261,111,92,107,172,0,1796,1041
189,489,420,69,66,79,45,60,79,160,2,1129,491
190,384,329,55,52,62,35,47,62,126,14,887,398
191,661,567,94,90,107,60,81,106,217,0,1525,661
192,752,706,46,134,134,78,86,119,201,3258,1710,4010
193,961,902,59,172,171,100,110,152,256,3,2186,964
194,1677,1574,103,300,299,175,192,265,446,21,3815,1698
195,1245,1168,77,222,222,130,143,196,332,11,2832,1256
196,1240,1057,183,394,327,112,112,141,154,119,2502,1359
197,1405,1197,208,447,371,127,127,160,173,0,2835,1405
198,2121,2021,100,568,592,254,196,205,306,17,3442,2138
199,1002,806,196,297,247,108,93,112,145,0,2105,1002
200,1338,1077,261,396,330,144,124,150,194,0,2809,1338
201,718,578,140,213,177,77,66,80,105,15,1508,733
202,531,427,104,157,131,57,49,59,78,0,1114,531
203,542,442,100,118,138,60,57,71,98,0,1204,542
204,815,665,150,178,207,90,85,106,149,15,1813,830
205,1664,1358,306,364,422,183,174,216,305,97,3700,1761
206,882,817,65,177,218,80,112,112,183,75,1874,957
207,1305,1209,96,261,322,119,165,166,272,230,2772,1535
208,660,595,65,122,118,80,77,95,168,59,1442,719
209,742,669,73,138,133,90,87,106,188,103,1621,845
210,666,600,66,123,119,81,78,96,169,42,1455,708
211,843,760,83,156,151,102,98,121,215,281,1842,1124
212,750,661,89,101,146,85,75,130,213,10,1635,760
213,500,441,59,67,97,57,50,86,143,58,1090,558
214,615,542,73,83,120,70,61,106,175,10,1340,625
215,905,798,107,122,176,103,90,156,258,21,1971,926
216,770,681,89,100,191,96,77,121,185,26,1667,796
217,1062,940,122,139,263,133,106,166,255,0,2301,1062
218,1205,949,256,135,147,127,126,204,466,5,2919,1210
219,1258,991,267,141,154,132,132,213,486,0,3045,1258
220,666,525,141,74,81,70,70,113,258,3,1613,669
221,619,488,131,69,76,65,65,105,239,1,1499,620
222,706,556,150,79,86,74,74,119,274,1,1710,707
223,626,493,133,71,75,59,66,105,250,8,1638,634
224,813,641,172,92,98,76,86,136,325,0,2129,813
225,578,455,123,65,69,54,61,97,232,80,1514,658
226,584,517,67,76,145,73,58,92,140,94,1265,678
227,405,358,47,53,100,51,41,63,97,2,877,407
228,1982,1820,162,301,356,231,186,341,567,0,3918,1982
229,1212,1113,99,184,217,141,114,208,348,0,2397,1212
230,1726,1626,100,179,324,211,139,327,546,0,3237,1726
231,445,419,26,46,83,54,36,84,142,0,835,445
232,681,642,39,71,128,83,55,129,215,0,1278,681
233,0,0,0,0,0,0,0,0,0,91,0,91
234,77,48,29,8,9,7,8,13,32,7,242,84
235,531,450,81,65,87,58,49,96,176,0,1156,531
236,0,0,0,0,0,0,0,0,0,0,0,0
237,50,49,1,4,10,5,4,9,18,84,69,134
238,843,791,52,151,150,88,97,133,224,85,1917,928
239,1417,1341,76,188,152,157,134,256,530,0,2619,1417
240,1614,1323,291,176,188,162,153,319,616,21,3453,1635
241,896,774,122,101,92,88,73,180,362,0,1833,896
242,1755,1157,598,175,131,201,176,321,751,70,6008,1825
243,1629,1532,97,224,205,190,118,333,559,140,3299,1769
244,1367,1078,289,148,167,163,116,261,512,0,3121,1367
245,1172,699,473,109,89,115,114,227,518,34,4346,1206
246,1343,1054,289,112,137,146,138,254,556,0,3471,1343
247,994,275,719,110,97,108,72,198,409,0,3595,994
248,1067,889,178,158,152,130,103,196,328,6,2208,1073
249,943,739,204,159,131,109,104,164,276,62,2036,1005
250,2271,1893,378,337,323,276,218,418,699,43,4700,2314
251,1784,1621,163,195,305,196,174,367,547,14,3492,1798
252,516,469,47,57,88,57,50,106,158,3,1011,519
253,1053,957,96,115,180,116,103,217,322,18,2061,1071
254,493,450,43,56,65,55,39,100,178,0,966,493
255,506,462,44,57,67,57,40,103,182,6,992,512
256,1071,978,93,121,141,120,85,218,386,4,2100,1075
257,1030,941,89,116,136,116,82,210,370,0,2019,1030
258,637,558,79,59,81,77,64,128,228,3,1298,640
259,1256,1100,156,116,159,151,126,252,452,43,2559,1299
260,1788,1566,222,165,226,215,180,359,643,17,3643,1805
261,1520,1093,427,209,130,149,128,333,571,140,4164,1660
262,1070,769,301,147,92,105,90,234,402,44,2931,1114
263,907,652,255,125,78,89,77,199,339,0,2484,907
264,833,599,234,115,71,82,70,183,312,1,2283,834
265,696,519,177,72,55,78,54,143,294,0,1860,696
266,651,485,166,68,52,73,51,134,273,1,1738,652
267,1033,770,263,107,82,116,80,213,435,1,2759,1034
268,1311,977,334,136,104,148,102,270,551,89,3503,1400
269,482,398,84,54,45,51,45,93,194,191,1045,673
270,1011,804,207,102,124,97,106,195,387,0,2400,1011
271,522,321,201,53,49,61,48,102,209,58,1673,580
272,764,385,379,91,69,82,72,148,302,11,3261,775
273,607,255,352,80,49,83,52,107,236,147,2289,754
274,291,89,202,52,13,46,15,55,110,0,970,291
275,753,622,131,85,70,80,70,145,303,41,1632,794
276,520,430,90,59,48,55,49,100,209,0,1128,520
277,558,461,97,63,52,59,52,107,225,8,1210,566
278,414,337,77,37,51,43,35,82,166,0,925,414
279,530,431,99,47,65,55,44,105,214,0,1185,530
280,687,559,128,61,84,71,58,136,277,0,1536,687
281,573,466,107,51,70,59,48,114,231,1,1281,574
282,516,420,96,42,53,54,46,109,212,1,1123,517
283,798,649,149,65,82,83,71,169,328,0,1737,798
284,650,529,121,53,67,68,58,137,267,0,1416,650
285,637,526,111,58,65,67,56,135,256,0,1418,637
286,443,366,77,40,45,47,39,94,178,0,986,443
287,505,417,88,46,51,53,45,107,203,0,1126,505
288,542,448,94,49,55,57,48,115,218,0,1207,542
289,573,473,100,52,58,61,51,121,230,64,1276,637
