geography,id,name,value,source,control_size
TAZ,7,hh_inc_25,174,Result,174
TAZ,7,hh_inc_25_50,108,Result,108
TAZ,7,hh_inc_50_75,55,Result,55
TAZ,7,hh_inc_75_100,54,Result,54
TAZ,7,hh_inc_100_150,60,Result,60
TAZ,7,hh_inc_150_plus,81,Result,81
TAZ,7,hh_gq,0,Result,0
TAZ,7,hh_child,475,Result,475
TAZ,7,hh_no_child,57,Result,57
TAZ,7,num_hh,0,Difference,532
TAZ,7,hh_inc_25,0,Difference,174
TAZ,7,hh_inc_25_50,0,Difference,108
TAZ,7,hh_inc_50_75,0,Difference,55
TAZ,7,hh_inc_75_100,0,Difference,54
TAZ,7,hh_inc_100_150,0,Difference,60
TAZ,7,hh_inc_150_plus,0,Difference,81
TAZ,7,hh_gq,0,Difference,0
TAZ,7,hh_child,0,Difference,475
TAZ,7,hh_no_child,0,Difference,57
TAZ,8,num_hh,704,Control,704
TAZ,8,hh_inc_25,216,Control,216
TAZ,8,hh_inc_25_50,169,Control,169
TAZ,8,hh_inc_50_75,60,Control,60
TAZ,8,hh_inc_75_100,66,Control,66
TAZ,8,hh_inc_100_150,86,Control,86
TAZ,8,hh_inc_150_plus,107,Control,107
TAZ,8,hh_gq,0,Control,0
TAZ,8,hh_child,688,Control,688
TAZ,8,hh_no_child,16,Control,16
TAZ,8,num_hh,704,Result,704
TAZ,8,hh_inc_25,216,Result,216
TAZ,8,hh_inc_25_50,169,Result,169
TAZ,8,hh_inc_50_75,60,Result,60
TAZ,8,hh_inc_75_100,66,Result,66
TAZ,8,hh_inc_100_150,86,Result,86
TAZ,8,hh_inc_150_plus,107,Result,107
TAZ,8,hh_gq,0,Result,0
TAZ,8,hh_child,688,Result,688
TAZ,8,hh_no_child,16,Result,16
TAZ,8,num_hh,0,Difference,704
TAZ,8,hh_inc_25,0,Difference,216
TAZ,8,hh_inc_25_50,0,Difference,169
TAZ,8,hh_inc_50_75,0,Difference,60
TAZ,8,hh_inc_75_100,0,Difference,66
TAZ,8,hh_inc_100_150,0,Difference,86
TAZ,8,hh_inc_150_plus,0,Difference,107
TAZ,8,hh_gq,0,Difference,0
TAZ,8,hh_child,0,Difference,688
TAZ,8,hh_no_child,0,Difference,16
TAZ,9,num_hh,8828,Control,8828
TAZ,9,hh_inc_25,1307,Control,1307
TAZ,9,hh_inc_25_50,630,Control,630
TAZ,9,hh_inc_50_75,682,Control,682
TAZ,9,hh_inc_75_100,933,Control,933
TAZ,9,hh_inc_100_150,1719,Control,1719
TAZ,9,hh_inc_150_plus,3557,Control,3557
TAZ,9,hh_gq,0,Control,0
TAZ,9,hh_child,6639,Control,6639
TAZ,9,hh_no_child,2189,Control,2189
TAZ,9,num_hh,8828,Result,8828
TAZ,9,hh_inc_25,1308,Result,1307
TAZ,9,hh_inc_25_50,631,Result,630
TAZ,9,hh_inc_50_75,683,Result,682
TAZ,9,hh_inc_75_100,933,Result,933
TAZ,9,hh_inc_100_150,1718,Result,1719
TAZ,9,hh_inc_150_plus,3555,Result,3557
TAZ,9,hh_gq,0,Result,0
TAZ,9,hh_child,6640,Result,6639
TAZ,9,hh_no_child,2188,Result,2189
TAZ,9,num_hh,0,Difference,8828
TAZ,9,hh_inc_25,1,Difference,1307
TAZ,9,hh_inc_25_50,1,Difference,630
TAZ,9,hh_inc_50_75,1,Difference,682
TAZ,9,hh_inc_75_100,0,Difference,933
TAZ,9,hh_inc_100_150,-1,Difference,1719
TAZ,9,hh_inc_150_plus,-2,Difference,3557
TAZ,9,hh_gq,0,Difference,0
TAZ,9,hh_child,1,Difference,6639
TAZ,9,hh_no_child,-1,Difference,2189
TAZ,10,num_hh,4425,Control,4425
TAZ,10,hh_inc_25,1099,Control,1099
TAZ,10,hh_inc_25_50,1102,Control,1102
TAZ,10,hh_inc_50_75,447,Control,447
TAZ,10,hh_inc_75_100,388,Control,388
TAZ,10,hh_inc_100_150,579,Control,579
TAZ,10,hh_inc_150_plus,703,Control,703
TAZ,10,hh_gq,107,Control,107
TAZ,10,hh_child,4160,Control,4160
TAZ,10,hh_no_child,158,Control,158
TAZ,10,num_hh,4425,Result,4425
TAZ,10,hh_inc_25,1100,Result,1099
TAZ,10,hh_inc_25_50,1101,Result,1102
TAZ,10,hh_inc_50_75,447,Result,447
TAZ,10,hh_inc_75_100,388,Result,388
TAZ,10,hh_inc_100_150,579,Result,579
TAZ,10,hh_inc_150_plus,703,Result,703
TAZ,10,hh_gq,107,Result,107
TAZ,10,hh_child,4159,Result,4160
TAZ,10,hh_no_child,159,Result,158
TAZ,10,num_hh,0,Difference,4425
TAZ,10,hh_inc_25,1,Difference,1099
TAZ,10,hh_inc_25_50,-1,Difference,1102
TAZ,10,hh_inc_50_75,0,Difference,447
TAZ,10,hh_inc_75_100,0,Difference,388
TAZ,10,hh_inc_100_150,0,Difference,579
TAZ,10,hh_inc_150_plus,0,Difference,703
TAZ,10,hh_gq,0,Difference,107
TAZ,10,hh_child,-1,Difference,4160
TAZ,10,hh_no_child,1,Difference,158
TAZ,11,num_hh,856,Control,856
TAZ,11,hh_inc_25,280,Control,280
TAZ,11,hh_inc_25_50,174,Control,174
TAZ,11,hh_inc_50_75,88,Control,88
TAZ,11,hh_inc_75_100,87,Control,87
TAZ,11,hh_inc_100_150,97,Control,97
TAZ,11,hh_inc_150_plus,130,Control,130
TAZ,11,hh_gq,0,Control,0
TAZ,11,hh_child,764,Control,764
TAZ,11,hh_no_child,92,Control,92
TAZ,11,num_hh,856,Result,856
TAZ,11,hh_inc_25,280,Result,280
TAZ,11,hh_inc_25_50,174,Result,174
TAZ,11,hh_inc_50_75,88,Result,88
TAZ,11,hh_inc_75_100,87,Result,87
TAZ,11,hh_inc_100_150,97,Result,97
TAZ,11,hh_inc_150_plus,130,Result,130
TAZ,11,hh_gq,0,Result,0
TAZ,11,hh_child,764,Result,764
TAZ,11,hh_no_child,92,Result,92
TAZ,11,num_hh,0,Difference,856
TAZ,11,hh_inc_25,0,Difference,280
TAZ,11,hh_inc_25_50,0,Difference,174
TAZ,11,hh_inc_50_75,0,Difference,88
TAZ,11,hh_inc_75_100,0,Difference,87
TAZ,11,hh_inc_100_150,0,Difference,97
TAZ,11,hh_inc_150_plus,0,Difference,130
TAZ,11,hh_gq,0,Difference,0
TAZ,11,hh_child,0,Difference,764
TAZ,11,hh_no_child,0,Difference,92
TAZ,12,num_hh,627,Control,627
TAZ,12,hh_inc_25,216,Control,216
TAZ,12,hh_inc_25_50,153,Control,153
TAZ,12,hh_inc_50_75,52,Control,52
TAZ,12,hh_inc_75_100,52,Control,52
TAZ,12,hh_inc_100_150,73,Control,73
TAZ,12,hh_inc_150_plus,81,Control,81
TAZ,12,hh_gq,0,Control,0
TAZ,12,hh_child,615,Control,615
TAZ,12,hh_no_child,12,Control,12
TAZ,12,num_hh,627,Result,627
TAZ,12,hh_inc_25,216,Result,216
TAZ,12,hh_inc_25_50,153,Result,153
TAZ,12,hh_inc_50_75,52,Result,52
TAZ,12,hh_inc_75_100,52,Result,52
TAZ,12,hh_inc_100_150,73,Result,73
TAZ,12,hh_inc_150_plus,81,Result,81
TAZ,12,hh_gq,0,Result,0
TAZ,12,hh_child,615,Result,615
TAZ,12,hh_no_child,12,Result,12
TAZ,12,num_hh,0,Difference,627
TAZ,12,hh_inc_25,0,Difference,216
TAZ,12,hh_inc_25_50,0,Difference,153
TAZ,12,hh_inc_50_75,0,Difference,52
TAZ,12,hh_inc_75_100,0,Difference,52
TAZ,12,hh_inc_100_150,0,Difference,73
TAZ,12,hh_inc_150_plus,0,Difference,81
TAZ,12,hh_gq,0,Difference,0
TAZ,12,hh_child,0,Difference,615
TAZ,12,hh_no_child,0,Difference,12
TAZ,13,num_hh,672,Control,672
TAZ,13,hh_inc_25,232,Control,232
TAZ,13,hh_inc_25_50,164,Control,164
TAZ,13,hh_inc_50_75,56,Control,56
TAZ,13,hh_inc_75_100,56,Control,56
TAZ,13,hh_inc_100_150,79,Control,79
TAZ,13,hh_inc_150_plus,85,Control,85
TAZ,13,hh_gq,0,Control,0
TAZ,13,hh_child,659,Control,659
TAZ,13,hh_no_child,13,Control,13
TAZ,13,num_hh,672,Result,672
TAZ,13,hh_inc_25,232,Result,232
TAZ,13,hh_inc_25_50,164,Result,164
